Date,CO2,Time
1/1/1920,-0.23,1
1/2/1920,-0.23,2
1/3/1920,-0.08,3
1/4/1920,-0.26,4
1/5/1920,-0.27,5
1/6/1920,-0.36,6
1/7/1920,-0.32,7
1/8/1920,-0.25,8
1/9/1920,-0.2,9
1/10/1920,-0.27,10
1/11/1920,-0.27,11
1/12/1920,-0.44,12
1/1/1921,-0.03,13
1/2/1921,-0.19,14
1/3/1921,-0.23,15
1/4/1921,-0.29,16
1/5/1921,-0.29,17
1/6/1921,-0.28,18
1/7/1921,-0.15,19
1/8/1921,-0.24,20
1/9/1921,-0.17,21
1/10/1921,-0.03,22
1/11/1921,-0.13,23
1/12/1921,-0.17,24
1/1/1922,-0.34,25
1/2/1922,-0.44,26
1/3/1922,-0.13,27
1/4/1922,-0.24,28
1/5/1922,-0.33,29
1/6/1922,-0.33,30
1/7/1922,-0.25,31
1/8/1922,-0.31,32
1/9/1922,-0.32,33
1/10/1922,-0.32,34
1/11/1922,-0.14,35
1/12/1922,-0.18,36
1/1/1923,-0.29,37
1/2/1923,-0.37,38
1/3/1923,-0.35,39
1/4/1923,-0.4,40
1/5/1923,-0.34,41
1/6/1923,-0.26,42
1/7/1923,-0.3,43
1/8/1923,-0.3,44
1/9/1923,-0.28,45
1/10/1923,-0.11,46
1/11/1923,0.01,47
1/12/1923,-0.02,48
1/1/1924,-0.22,49
1/2/1924,-0.24,50
1/3/1924,-0.07,51
1/4/1924,-0.31,52
1/5/1924,-0.18,53
1/6/1924,-0.23,54
1/7/1924,-0.26,55
1/8/1924,-0.34,56
1/9/1924,-0.31,57
1/10/1924,-0.34,58
1/11/1924,-0.2,59
1/12/1924,-0.41,60
1/1/1925,-0.36,61
1/2/1925,-0.38,62
1/3/1925,-0.25,63
1/4/1925,-0.25,64
1/5/1925,-0.3,65
1/6/1925,-0.32,66
1/7/1925,-0.28,67
1/8/1925,-0.15,68
1/9/1925,-0.16,69
1/10/1925,-0.18,70
1/11/1925,0.04,71
1/12/1925,0.09,72
1/1/1926,0.19,73
1/2/1926,0.06,74
1/3/1926,0.11,75
1/4/1926,-0.13,76
1/5/1926,-0.22,77
1/6/1926,-0.23,78
1/7/1926,-0.24,79
1/8/1926,-0.13,80
1/9/1926,-0.13,81
1/10/1926,-0.1,82
1/11/1926,-0.05,83
1/12/1926,-0.28,84
1/1/1927,-0.27,85
1/2/1927,-0.18,86
1/3/1927,-0.37,87
1/4/1927,-0.31,88
1/5/1927,-0.25,89
1/6/1927,-0.26,90
1/7/1927,-0.16,91
1/8/1927,-0.21,92
1/9/1927,-0.11,93
1/10/1927,-0.01,94
1/11/1927,-0.04,95
1/12/1927,-0.33,96
1/1/1928,-0.01,97
1/2/1928,-0.08,98
1/3/1928,-0.27,99
1/4/1928,-0.28,100
1/5/1928,-0.3,101
1/6/1928,-0.37,102
1/7/1928,-0.19,103
1/8/1928,-0.23,104
1/9/1928,-0.19,105
1/10/1928,-0.17,106
1/11/1928,-0.09,107
1/12/1928,-0.18,108
1/1/1929,-0.46,109
1/2/1929,-0.6,110
1/3/1929,-0.32,111
1/4/1929,-0.4,112
1/5/1929,-0.39,113
1/6/1929,-0.41,114
1/7/1929,-0.33,115
1/8/1929,-0.29,116
1/9/1929,-0.23,117
1/10/1929,-0.12,118
1/11/1929,-0.12,119
1/12/1929,-0.54,120
1/1/1930,-0.3,121
1/2/1930,-0.27,122
1/3/1930,-0.09,123
1/4/1930,-0.24,124
1/5/1930,-0.23,125
1/6/1930,-0.2,126
1/7/1930,-0.2,127
1/8/1930,-0.12,128
1/9/1930,-0.12,129
1/10/1930,-0.09,130
1/11/1930,0.15,131
1/12/1930,-0.08,132
1/1/1931,-0.1,133
1/2/1931,-0.24,134
1/3/1931,-0.08,135
1/4/1931,-0.21,136
1/5/1931,-0.2,137
1/6/1931,-0.07,138
1/7/1931,-0.03,139
1/8/1931,-0.03,140
1/9/1931,-0.06,141
1/10/1931,0.02,142
1/11/1931,-0.12,143
1/12/1931,-0.09,144
1/1/1932,0.14,145
1/2/1932,-0.18,146
1/3/1932,-0.19,147
1/4/1932,-0.06,148
1/5/1932,-0.18,149
1/6/1932,-0.29,150
1/7/1932,-0.24,151
1/8/1932,-0.23,152
1/9/1932,-0.12,153
1/10/1932,-0.1,154
1/11/1932,-0.27,155
1/12/1932,-0.26,156
1/1/1933,-0.34,157
1/2/1933,-0.34,158
1/3/1933,-0.3,159
1/4/1933,-0.25,160
1/5/1933,-0.29,161
1/6/1933,-0.33,162
1/7/1933,-0.21,163
1/8/1933,-0.24,164
1/9/1933,-0.27,165
1/10/1933,-0.21,166
1/11/1933,-0.3,167
1/12/1933,-0.46,168
1/1/1934,-0.24,169
1/2/1934,-0.04,170
1/3/1934,-0.33,171
1/4/1934,-0.3,172
1/5/1934,-0.11,173
1/6/1934,-0.15,174
1/7/1934,-0.1,175
1/8/1934,-0.11,176
1/9/1934,-0.16,177
1/10/1934,-0.08,178
1/11/1934,0.03,179
1/12/1934,-0.04,180
1/1/1935,-0.33,181
1/2/1935,0.15,182
1/3/1935,-0.13,183
1/4/1935,-0.36,184
1/5/1935,-0.3,185
1/6/1935,-0.27,186
1/7/1935,-0.22,187
1/8/1935,-0.22,188
1/9/1935,-0.21,189
1/10/1935,-0.08,190
1/11/1935,-0.28,191
1/12/1935,-0.2,192
1/1/1936,-0.28,193
1/2/1936,-0.39,194
1/3/1936,-0.22,195
1/4/1936,-0.2,196
1/5/1936,-0.18,197
1/6/1936,-0.21,198
1/7/1936,-0.08,199
1/8/1936,-0.13,200
1/9/1936,-0.09,201
1/10/1936,-0.04,202
1/11/1936,-0.04,203
1/12/1936,-0.03,204
1/1/1937,-0.13,205
1/2/1937,0.04,206
1/3/1937,-0.18,207
1/4/1937,-0.17,208
1/5/1937,-0.08,209
1/6/1937,-0.05,210
1/7/1937,-0.05,211
1/8/1937,0.02,212
1/9/1937,0.11,213
1/10/1937,0.08,214
1/11/1937,0.09,215
1/12/1937,-0.11,216
1/1/1938,0.01,217
1/2/1938,-0.02,218
1/3/1938,0.08,219
1/4/1938,0.04,220
1/5/1938,-0.1,221
1/6/1938,-0.18,222
1/7/1938,-0.09,223
1/8/1938,-0.06,224
1/9/1938,0.02,225
1/10/1938,0.11,226
1/11/1938,0.04,227
1/12/1938,-0.22,228
1/1/1939,-0.07,229
1/2/1939,-0.08,230
1/3/1939,-0.19,231
1/4/1939,-0.09,232
1/5/1939,-0.06,233
1/6/1939,-0.08,234
1/7/1939,-0.08,235
1/8/1939,-0.07,236
1/9/1939,-0.07,237
1/10/1939,-0.03,238
1/11/1939,0.06,239
1/12/1939,0.44,240
1/1/1940,-0.06,241
1/2/1940,0.13,242
1/3/1940,0.15,243
1/4/1940,0.18,244
1/5/1940,0.1,245
1/6/1940,0.08,246
1/7/1940,0.12,247
1/8/1940,0.05,248
1/9/1940,0.13,249
1/10/1940,0.08,250
1/11/1940,0.17,251
1/12/1940,0.28,252
1/1/1941,0.21,253
1/2/1941,0.32,254
1/3/1941,0.08,255
1/4/1941,0.17,256
1/5/1941,0.14,257
1/6/1941,0.12,258
1/7/1941,0.21,259
1/8/1941,0.14,260
1/9/1941,0.02,261
1/10/1941,0.34,262
1/11/1941,0.24,263
1/12/1941,0.21,264
1/1/1942,0.26,265
1/2/1942,0.02,266
1/3/1942,0.09,267
1/4/1942,0.11,268
1/5/1942,0.09,269
1/6/1942,0.04,270
1/7/1942,0,271
1/8/1942,-0.04,272
1/9/1942,-0.05,273
1/10/1942,-0.01,274
1/11/1942,0.08,275
1/12/1942,0.07,276
1/1/1943,-0.04,277
1/2/1943,0.13,278
1/3/1943,-0.08,279
1/4/1943,0.07,280
1/5/1943,0.04,281
1/6/1943,-0.06,282
1/7/1943,0.08,283
1/8/1943,0,284
1/9/1943,0.06,285
1/10/1943,0.22,286
1/11/1943,0.19,287
1/12/1943,0.24,288
1/1/1944,0.35,289
1/2/1944,0.26,290
1/3/1944,0.27,291
1/4/1944,0.2,292
1/5/1944,0.19,293
1/6/1944,0.2,294
1/7/1944,0.18,295
1/8/1944,0.17,296
1/9/1944,0.3,297
1/10/1944,0.26,298
1/11/1944,0.1,299
1/12/1944,0.02,300
1/1/1945,0.09,301
1/2/1945,-0.02,302
1/3/1945,0.07,303
1/4/1945,0.18,304
1/5/1945,0.05,305
1/6/1945,-0.01,306
1/7/1945,0.03,307
1/8/1945,0.27,308
1/9/1945,0.22,309
1/10/1945,0.19,310
1/11/1945,0.07,311
1/12/1945,-0.09,312
1/1/1946,0.15,313
1/2/1946,0.07,314
1/3/1946,0.01,315
1/4/1946,0.06,316
1/5/1946,-0.08,317
1/6/1946,-0.21,318
1/7/1946,-0.14,319
1/8/1946,-0.16,320
1/9/1946,-0.07,321
1/10/1946,-0.06,322
1/11/1946,-0.06,323
1/12/1946,-0.35,324
1/1/1947,-0.13,325
1/2/1947,-0.08,326
1/3/1947,0.07,327
