Date,CO2
1/1/1920,-0.23
1/2/1920,-0.23
1/3/1920,-0.08
1/4/1920,-0.26
1/5/1920,-0.27
1/6/1920,-0.36
1/7/1920,-0.32
1/8/1920,-0.25
1/9/1920,-0.2
1/10/1920,-0.27
1/11/1920,-0.27
1/12/1920,-0.44
1/1/1921,-0.03
1/2/1921,-0.19
1/3/1921,-0.23
1/4/1921,-0.29
1/5/1921,-0.29
1/6/1921,-0.28
1/7/1921,-0.15
1/8/1921,-0.24
1/9/1921,-0.17
1/10/1921,-0.03
1/11/1921,-0.13
1/12/1921,-0.17
1/1/1922,-0.34
1/2/1922,-0.44
1/3/1922,-0.13
1/4/1922,-0.24
1/5/1922,-0.33
1/6/1922,-0.33
1/7/1922,-0.25
1/8/1922,-0.31
1/9/1922,-0.32
1/10/1922,-0.32
1/11/1922,-0.14
1/12/1922,-0.18
1/1/1923,-0.29
1/2/1923,-0.37
1/3/1923,-0.35
1/4/1923,-0.4
1/5/1923,-0.34
1/6/1923,-0.26
1/7/1923,-0.3
1/8/1923,-0.3
1/9/1923,-0.28
1/10/1923,-0.11
1/11/1923,0.01
1/12/1923,-0.02
1/1/1924,-0.22
1/2/1924,-0.24
1/3/1924,-0.07
1/4/1924,-0.31
1/5/1924,-0.18
1/6/1924,-0.23
1/7/1924,-0.26
1/8/1924,-0.34
1/9/1924,-0.31
1/10/1924,-0.34
1/11/1924,-0.2
1/12/1924,-0.41
1/1/1925,-0.36
1/2/1925,-0.38
1/3/1925,-0.25
1/4/1925,-0.25
1/5/1925,-0.3
1/6/1925,-0.32
1/7/1925,-0.28
1/8/1925,-0.15
1/9/1925,-0.16
1/10/1925,-0.18
1/11/1925,0.04
1/12/1925,0.09
1/1/1926,0.19
1/2/1926,0.06
1/3/1926,0.11
1/4/1926,-0.13
1/5/1926,-0.22
1/6/1926,-0.23
1/7/1926,-0.24
1/8/1926,-0.13
1/9/1926,-0.13
1/10/1926,-0.1
1/11/1926,-0.05
1/12/1926,-0.28
1/1/1927,-0.27
1/2/1927,-0.18
1/3/1927,-0.37
1/4/1927,-0.31
1/5/1927,-0.25
1/6/1927,-0.26
1/7/1927,-0.16
1/8/1927,-0.21
1/9/1927,-0.11
1/10/1927,-0.01
1/11/1927,-0.04
1/12/1927,-0.33
1/1/1928,-0.01
1/2/1928,-0.08
1/3/1928,-0.27
1/4/1928,-0.28
1/5/1928,-0.3
1/6/1928,-0.37
1/7/1928,-0.19
1/8/1928,-0.23
1/9/1928,-0.19
1/10/1928,-0.17
1/11/1928,-0.09
1/12/1928,-0.18
1/1/1929,-0.46
1/2/1929,-0.6
1/3/1929,-0.32
1/4/1929,-0.4
1/5/1929,-0.39
1/6/1929,-0.41
1/7/1929,-0.33
1/8/1929,-0.29
1/9/1929,-0.23
1/10/1929,-0.12
1/11/1929,-0.12
1/12/1929,-0.54
1/1/1930,-0.3
1/2/1930,-0.27
1/3/1930,-0.09
1/4/1930,-0.24
1/5/1930,-0.23
1/6/1930,-0.2
1/7/1930,-0.2
1/8/1930,-0.12
1/9/1930,-0.12
1/10/1930,-0.09
1/11/1930,0.15
1/12/1930,-0.08
1/1/1931,-0.1
1/2/1931,-0.24
1/3/1931,-0.08
1/4/1931,-0.21
1/5/1931,-0.2
1/6/1931,-0.07
1/7/1931,-0.03
1/8/1931,-0.03
1/9/1931,-0.06
1/10/1931,0.02
1/11/1931,-0.12
1/12/1931,-0.09
1/1/1932,0.14
1/2/1932,-0.18
1/3/1932,-0.19
1/4/1932,-0.06
1/5/1932,-0.18
1/6/1932,-0.29
1/7/1932,-0.24
1/8/1932,-0.23
1/9/1932,-0.12
1/10/1932,-0.1
1/11/1932,-0.27
1/12/1932,-0.26
1/1/1933,-0.34
1/2/1933,-0.34
1/3/1933,-0.3
1/4/1933,-0.25
1/5/1933,-0.29
1/6/1933,-0.33
1/7/1933,-0.21
1/8/1933,-0.24
1/9/1933,-0.27
1/10/1933,-0.21
1/11/1933,-0.3
1/12/1933,-0.46
1/1/1934,-0.24
1/2/1934,-0.04
1/3/1934,-0.33
1/4/1934,-0.3
1/5/1934,-0.11
1/6/1934,-0.15
1/7/1934,-0.1
1/8/1934,-0.11
1/9/1934,-0.16
1/10/1934,-0.08
1/11/1934,0.03
1/12/1934,-0.04
1/1/1935,-0.33
1/2/1935,0.15
1/3/1935,-0.13
1/4/1935,-0.36
1/5/1935,-0.3
1/6/1935,-0.27
1/7/1935,-0.22
1/8/1935,-0.22
1/9/1935,-0.21
1/10/1935,-0.08
1/11/1935,-0.28
1/12/1935,-0.2
1/1/1936,-0.28
1/2/1936,-0.39
1/3/1936,-0.22
1/4/1936,-0.2
1/5/1936,-0.18
1/6/1936,-0.21
1/7/1936,-0.08
1/8/1936,-0.13
1/9/1936,-0.09
1/10/1936,-0.04
1/11/1936,-0.04
1/12/1936,-0.03
1/1/1937,-0.13
1/2/1937,0.04
1/3/1937,-0.18
1/4/1937,-0.17
1/5/1937,-0.08
1/6/1937,-0.05
1/7/1937,-0.05
1/8/1937,0.02
1/9/1937,0.11
1/10/1937,0.08
1/11/1937,0.09
1/12/1937,-0.11
1/1/1938,0.01
1/2/1938,-0.02
1/3/1938,0.08
1/4/1938,0.04
1/5/1938,-0.1
1/6/1938,-0.18
1/7/1938,-0.09
1/8/1938,-0.06
1/9/1938,0.02
